chip_id,gt_cloud_ratio,pred_cloud_ratio,gt_irradiance,pred_irradiance
dcwf,18.49823,16.474915,852.01416,868.2007
lbsl,0.0,4.017639,1000.0,967.8589
qrtd,23.442078,3.5110474,812.4634,971.9116
enff,36.358643,36.99951,709.13086,704.0039
rsqw,31.590271,35.531616,747.27783,715.7471
afuu,79.58069,71.640015,363.3545,426.87988
juof,77.90375,77.62756,376.77002,378.9795
step,40.270996,42.652893,677.83203,658.77686
flzk,81.49567,83.551025,348.03467,331.5918
sxdi,0.0,0.0,1000.0,1000.0
daoe,83.78906,89.95972,329.68747,280.32227
xezu,38.398743,25.592041,692.81006,795.2637
ldxd,100.0,90.73334,199.99998,274.13327
xors,100.0,100.0,199.99998,199.99998
wxot,67.276,70.03784,461.792,439.69727
gsvw,16.114807,40.472412,871.08154,676.22064
ngqx,64.29443,63.685608,485.64453,490.5151
etto,100.0,100.0,199.99998,199.99998
vcbw,29.595947,26.480103,763.2324,788.1592
urkq,99.95422,99.8764,200.3662,200.98877
aeli,98.5611,99.565125,211.5112,203.47899
wsua,100.0,100.0,199.99998,199.99998
mbgx,100.0,100.0,199.99998,199.99998
snrw,71.65527,71.66443,426.7578,426.68457
anka,5.039978,5.6640625,959.6802,954.6875
dcyz,81.59027,80.51605,347.27783,355.87155
nbke,15.957642,16.326904,872.33887,869.38477
lswy,100.0,100.0,199.99998,199.99998
ijtp,100.0,100.0,199.99998,199.99998
bunu,0.0,0.0,1000.0,1000.0
ikqg,100.0,100.0,199.99998,199.99998
vxip,78.08075,80.45502,375.354,356.35983
cjgr,98.672485,85.902405,210.6201,312.78073
cmhc,3.2821655,2.4780273,973.7427,980.1758
smoj,80.96466,84.92432,352.2827,320.60547
bzwh,94.96307,92.91077,240.29541,256.71387
usno,64.819336,57.881165,481.4453,536.9507
dkti,99.40033,100.0,204.79733,199.99998
dmki,27.168274,25.78888,782.6538,793.68896
ycss,100.0,100.0,199.99998,199.99998
shcg,99.713135,100.0,202.29489,199.99998
vhwd,100.0,100.0,199.99998,199.99998
evlm,99.67499,99.47357,202.60007,204.21141
jvhr,100.0,100.0,199.99998,199.99998
tkka,10.653687,12.162781,914.7705,902.69775
wwkb,94.55109,99.71161,243.59131,202.3071
qjlf,100.0,100.0,199.99998,199.99998
hsfl,100.0,100.0,199.99998,199.99998
vcbe,25.108337,24.617004,799.1333,803.06396
yuga,98.5199,99.461365,211.8408,204.30905
gubf,44.90204,38.1958,640.7837,694.4336
zwdw,99.27368,100.0,205.81055,199.99998
lutn,61.75995,60.336304,505.9204,517.3096
odqb,49.165344,50.886536,606.67725,592.90765
yisi,100.0,100.0,199.99998,199.99998
ngla,99.23859,100.0,206.09128,199.99998
qthp,58.929443,62.643433,528.56445,498.85254
tfos,0.0,0.0,1000.0,1000.0
rrua,85.25238,82.08771,317.98096,343.2983
dijw,100.0,100.0,199.99998,199.99998
ixyx,20.643616,19.526672,834.8511,843.7866
hxyh,0.0,43.02826,1000.0,655.77386
bxpb,0.0,0.0,1000.0,1000.0
mpbj,20.845032,25.863647,833.23975,793.0908
aobl,62.290955,63.363647,501.6724,493.09082
widc,50.395203,38.711548,596.8384,690.3076
vplj,24.243164,21.871948,806.0547,825.0244
iasg,100.0,31.344604,199.99998,749.24316
wies,100.0,100.0,199.99998,199.99998
hvtq,48.590088,50.883484,611.27924,592.9321
ahly,99.16382,99.68262,206.68942,202.53903
cbcp,100.0,100.0,199.99998,199.99998
zcvh,61.27472,57.121277,509.80222,543.0298
xkmf,49.147034,66.64581,606.82367,466.83347
buwi,0.0,0.0,1000.0,1000.0
hzvy,0.0,0.0,1000.0,1000.0
byzm,35.046387,27.461243,719.6289,780.31006
asoy,42.57202,43.371582,659.4238,653.0273
mepu,99.68872,100.0,202.4902,199.99998
cazh,98.6084,98.74878,211.13283,210.00975
tasj,0.0,0.0,1000.0,1000.0
ijgq,99.80469,100.0,201.56247,199.99998
kujy,100.0,98.72742,199.99998,210.18063
yhjb,100.0,100.0,199.99998,199.99998
smle,99.894714,100.0,200.84225,199.99998
htcs,100.0,99.94202,199.99998,200.46384
vbzt,9.176636,8.691406,926.5869,930.46875
doet,0.0,0.0,1000.0,1000.0
vzhu,49.186707,49.36371,606.50635,605.09033
wbpj,100.0,100.0,199.99998,199.99998
sbdd,45.04242,45.744324,639.6606,634.04535
ivqs,0.99487305,0.33569336,992.041,997.31445
sbgd,30.114746,26.177979,759.08203,790.5762
pezm,41.92047,43.032837,664.6362,655.7373
giry,90.556335,94.53583,275.5493,243.71338
cqnk,89.83765,92.44232,281.29883,260.4614
crvm,66.00189,25.89264,471.98486,792.8589
ycmr,100.0,100.0,199.99998,199.99998
qqez,24.378967,26.911926,804.96826,784.7046
mwvt,13.642883,11.230469,890.85693,910.15625
qjog,1.7105103,0.8087158,986.3159,993.5303
phba,95.339966,96.00372,237.28024,231.97018
rymd,0.0,0.0,1000.0,1000.0
bsuo,49.830627,60.82306,601.355,513.4155
yjou,2.8656006,9.091187,977.0752,927.2705
xzta,100.0,100.0,199.99998,199.99998
xsjs,100.0,95.529175,199.99998,235.76659
csmz,10.891724,10.528564,912.8662,915.7715
bvqz,0.10681152,0.0793457,999.1455,999.36523
pcyu,39.364624,38.612366,685.083,691.1011
mpqq,0.1083374,0.0,999.1333,1000.0
dbuu,100.0,90.19165,199.99998,278.46677
iygt,54.847717,51.940918,561.21826,584.47266
gjho,69.44885,67.22717,444.40918,462.1826
gira,52.249146,50.746155,582.00684,594.03076
vafl,59.077454,52.61383,527.3804,579.08936
rqnl,10.409546,9.541321,916.72363,923.66943
dvah,18.371582,17.132568,853.02734,862.93945
foiq,99.53003,100.0,203.75974,199.99998
kukk,100.0,99.15314,199.99998,206.77489
rwjk,100.0,100.0,199.99998,199.99998
iyzh,9.378052,4.4799805,924.9756,964.16016
cdia,55.444336,53.730774,556.4453,570.1538
rama,99.49341,100.0,204.05275,199.99998
vigf,100.0,100.0,199.99998,199.99998
csiv,0.79345703,0.43029785,993.65234,996.5576
bldo,100.0,100.0,199.99998,199.99998
xvqq,100.0,100.0,199.99998,199.99998
vcrp,18.29834,9.45282,853.6133,924.37744
alcj,9.106445,7.6431274,927.14844,938.855
cqaw,100.0,100.0,199.99998,199.99998
iion,99.98932,100.0,200.08546,199.99998
ewcp,98.646545,98.89374,210.82765,208.85008
pesv,100.0,100.0,199.99998,199.99998
smma,20.690918,13.1866455,834.47266,894.50684
skfz,99.66431,100.0,202.68553,199.99998
hswm,97.18628,97.8775,222.50974,216.97998
pceh,34.910583,43.60199,720.7153,651.1841
butb,0.0,0.0,1000.0,1000.0
evcz,52.53296,51.65863,579.7363,586.73096
njkr,0.0,0.0,1000.0,1000.0
afel,99.97406,100.0,200.20753,199.99998
nzzy,80.28412,80.10101,357.72705,359.1919
jvjl,93.93768,94.444275,248.4985,244.4458
rthp,100.0,100.0,199.99998,199.99998
kxus,87.07123,83.766174,303.43015,329.87057
qjkr,100.0,100.0,199.99998,199.99998
yxnp,100.0,100.0,199.99998,199.99998
vqhi,50.990295,53.259277,592.07764,573.9257
ydxe,100.0,100.0,199.99998,199.99998
smvk,100.0,100.0,199.99998,199.99998
elxw,12.522888,10.971069,899.8169,912.23145
ginw,1.8707275,2.067566,985.0342,983.4595
ldei,100.0,100.0,199.99998,199.99998
huri,6.196594,4.411316,950.42725,964.7095
burx,0.0,0.0,1000.0,1000.0
wdgu,100.0,100.0,199.99998,199.99998
vdlz,29.519653,29.864502,763.8428,761.084
bvwn,100.0,100.0,199.99998,199.99998
lvsj,6.2973022,5.9570312,949.6216,952.34375
bufn,83.30536,82.96661,333.55713,336.26706
bkyi,100.0,100.0,199.99998,199.99998
wfzb,47.03064,36.71875,623.7549,706.24994
siba,96.9162,99.70245,224.67041,202.38036
sulr,99.53613,100.0,203.7109,199.99998
urqk,7.130432,5.3970337,942.95654,956.8237
emzd,100.0,100.0,199.99998,199.99998
buaq,0.7095337,0.4333496,994.3237,996.5332
sxej,49.319458,43.515015,605.44434,651.8799
cjsj,3.3721924,2.7511597,973.02246,977.9907
ggdy,5.2948,3.451538,957.6416,972.3877
bzma,64.91547,65.23132,480.67624,478.1494
wlns,85.43701,81.3736,316.50388,349.01123
bzdl,87.649536,88.986206,298.80368,288.11032
ykjr,48.258972,45.228577,613.9282,638.1714
iibg,100.0,91.20941,199.99998,270.3247
pdmu,99.34387,100.0,205.24901,199.99998
dhrk,100.0,100.0,199.99998,199.99998
vyoi,30.94635,33.493042,752.4292,732.05566
ixeg,31.915283,30.519104,744.67773,755.84717
wddu,67.59949,53.80249,459.20407,569.5801
wlkb,99.88403,100.0,200.92773,199.99998
awem,50.97351,48.905945,592.2119,608.75244
xchi,56.632996,60.395813,546.93604,516.8335
ckqs,51.013184,45.407104,591.89453,636.74316
qamp,100.0,89.63928,199.99998,282.88574
ybvl,100.0,100.0,199.99998,199.99998
wfva,100.0,100.0,199.99998,199.99998
vwbp,71.37604,67.99011,428.99167,456.07907
tiim,100.0,100.0,199.99998,199.99998
lxgk,95.85419,94.436646,233.16652,244.50684
jecx,45.155334,41.4093,638.7573,668.7256
hoji,100.0,100.0,199.99998,199.99998
yhum,100.0,100.0,199.99998,199.99998
zxxo,16.699219,13.949585,866.40625,888.4033
lvxl,80.45502,77.04468,356.35983,383.64255
ijmv,100.0,100.0,199.99998,199.99998
jvqf,99.58954,99.33624,203.28366,205.31004
ocks,57.34253,58.5083,541.25977,531.93353
dnpq,0.0,0.0,1000.0,1000.0
xsat,89.20441,93.47229,286.36475,252.22165
lokn,9.507751,9.892273,923.938,920.8618
rudo,44.68689,45.594788,642.5049,635.2417
lxef,100.0,100.0,199.99998,199.99998
cbsk,74.598694,72.86835,403.21045,417.05322
aiob,36.730957,31.776428,706.15234,745.7886
rupm,100.0,100.0,199.99998,199.99998
xdga,62.911987,63.990784,496.7041,488.0737
vuuq,55.552673,52.697754,555.5786,578.41797
ctgd,2.0568848,1.8035889,983.5449,985.5713
ccec,45.895386,44.413757,632.8369,644.68994
vbbz,56.11725,29.986572,551.062,760.1074
hsrx,99.96796,97.99194,200.25635,216.06445
svzk,97.59979,97.60437,219.20163,219.16502
dogp,100.0,99.998474,199.99998,200.0122
muhn,24.74823,30.137634,802.01416,758.8989
bzog,83.18787,78.44696,334.49704,372.42432
iwgc,19.24591,26.881409,846.0327,784.9487
newu,37.21161,35.839844,702.3071,713.28125
kxqr,0.0,0.0,1000.0,1000.0
encf,67.20581,69.88983,462.35352,440.88132
qxrw,100.0,100.0,199.99998,199.99998
vdxm,89.15863,89.57367,286.73096,283.4106
zavb,0.0,0.0,1000.0,1000.0
lptt,9.098816,6.9259644,927.2095,944.5923
wyzj,98.358154,92.89551,213.13477,256.83594
yaag,100.0,100.0,199.99998,199.99998
uqrq,58.457947,59.36432,532.3364,525.08545
ahvx,56.263733,46.90094,549.89014,624.7925
ygsw,100.0,100.0,199.99998,199.99998
vpxe,0.0,0.0,1000.0,1000.0
lnzc,23.223877,17.477417,814.209,860.18066
yemn,100.0,100.0,199.99998,199.99998
cvfq,58.89435,19.769287,528.8452,841.8457
doxm,29.037476,23.396301,767.7002,812.8296
deyy,100.0,75.22278,199.99998,398.21774
dazo,70.81146,76.35498,433.50827,389.16016
emds,14.76593,12.394714,881.87256,900.8423
kheh,7.876587,2.3605347,936.9873,981.1157
kvst,6.060791,5.2459717,951.5137,958.0322
wvlz,0.0,0.0,1000.0,1000.0
hrve,100.0,100.0,199.99998,199.99998
mres,35.939026,33.42285,712.4878,732.6171
hobb,99.78638,100.0,201.70897,199.99998
ysyv,94.680786,87.73041,242.55371,298.15674
xmiw,89.297485,82.30133,285.6201,341.58932
juyd,99.420166,95.00885,204.63866,239.9292
svvv,73.84186,68.85376,409.2651,449.16992
snrk,100.0,99.79553,199.99998,201.63571
izwy,66.29944,67.00592,469.6045,463.9526
blgb,100.0,100.0,199.99998,199.99998
cpqd,95.63446,96.53015,234.92432,227.75876
xmja,68.68591,72.02759,450.5127,423.7793
ktud,100.0,99.71161,199.99998,202.3071
bibn,100.0,100.0,199.99998,199.99998
afyr,29.53186,72.554016,763.7451,419.56787
mfvy,91.0141,88.45825,271.88718,292.33395
dnpm,94.50531,95.233154,243.95752,238.13474
xnqz,4.0405273,4.211426,967.6758,966.3086
jenw,71.28754,68.95294,429.6997,448.37646
etts,74.60632,79.2038,403.1494,366.3696
qzpl,96.95892,99.46289,224.32858,204.29689
viwf,100.0,100.0,199.99998,199.99998
zbsz,10.119629,12.414551,919.04297,900.6836
qlss,100.0,100.0,199.99998,199.99998
vsmx,89.741516,90.05585,282.06784,279.55322
aipr,19.34967,12.490845,845.20264,900.07324
cdej,58.320618,61.006165,533.43506,511.95068
yura,98.44513,97.63031,212.43893,218.95749
ejhx,100.0,100.0,199.99998,199.99998
vfib,15.901184,14.222717,872.7905,886.21826
aupn,62.091064,65.675354,503.27145,474.59717
nety,100.0,100.0,199.99998,199.99998
wfha,100.0,98.99292,199.99998,208.05663
vjkr,100.0,100.0,199.99998,199.99998
dzch,46.07849,44.65332,631.3721,642.7734
qpnl,84.410095,83.16498,324.71924,334.68015
dlwi,100.0,100.0,199.99998,199.99998
bgwi,1.2634277,74.53308,989.8926,403.73535
lteu,100.0,100.0,199.99998,199.99998
ncij,68.65692,65.045166,450.74463,479.63864
bgcn,15.132141,15.322876,878.9429,877.417
myrn,20.018005,18.89038,839.85596,848.87695
hrof,100.0,100.0,199.99998,199.99998
ynih,84.10492,24.404907,327.16064,804.76074
iyqh,89.50958,14.453125,283.92334,884.375
ygey,100.0,100.0,199.99998,199.99998
cutq,76.882935,0.0,384.93652,1000.0
mwqy,0.61798096,0.5477905,995.05615,995.6177
vrzx,4.2755127,6.465149,965.7959,948.2788
xcun,45.352173,43.917847,637.1826,648.6572
elwp,86.17554,84.27124,310.5957,325.83005
iise,99.24164,100.0,206.06691,199.99998
eueq,98.76404,99.65668,209.88768,202.74657
ffgp,10.044861,32.96051,919.6411,736.3159
phnk,99.64905,57.377625,202.8076,540.979
apne,47.68219,51.057434,618.5424,591.5405
fmhp,100.0,100.0,199.99998,199.99998
mfhx,100.0,100.0,199.99998,199.99998
phhg,100.0,100.0,199.99998,199.99998
yhxl,64.75067,65.03143,481.99463,479.74854
iybo,12.3550415,13.711548,901.15967,890.3076
entc,100.0,100.0,199.99998,199.99998
yzrx,57.46765,52.43988,540.2588,580.48096
dbkx,36.228943,48.294067,710.16846,613.64746
nlez,100.0,100.0,199.99998,199.99998
avqy,71.60034,66.20636,427.19727,470.34912
sadp,0.0,0.0,1000.0,1000.0
hwur,40.786743,39.69879,673.70605,682.40967
gtcy,73.92273,57.691956,408.61816,538.4643
rviy,100.0,100.0,199.99998,199.99998
muuh,74.60327,73.79608,403.1738,409.63132
lrhk,0.0,0.0,1000.0,1000.0
hzfv,76.72119,100.0,386.23047,199.99998
hxai,30.27649,29.969788,757.7881,760.2417
apbn,72.67456,80.86243,418.6035,353.1006
ycui,100.0,100.0,199.99998,199.99998
gjyp,100.0,100.0,199.99998,199.99998
odlo,22.846985,34.77173,817.2241,721.8262
mdis,100.0,100.0,199.99998,199.99998
kulh,100.0,100.0,199.99998,199.99998
cagg,22.006226,20.698547,823.9502,834.4116
kupg,100.0,100.0,199.99998,199.99998
mvnq,26.293945,24.668884,789.64844,802.6489
xqgf,100.0,99.81232,199.99998,201.50143
syce,95.26062,96.84906,237.91504,225.2075
pbnh,87.43591,89.11438,300.51266,287.08493
ymhu,11.158752,8.51593,910.73,931.87256
meuk,100.0,100.0,199.99998,199.99998
aquw,85.635376,87.30316,314.91696,301.5747
deyn,54.89807,37.498474,560.8154,700.0122
jegl,72.680664,75.10681,418.55466,399.14548
flxu,99.51019,100.0,203.91846,199.99998
webe,22.068787,19.570923,823.4497,843.4326
jvom,87.42828,83.49609,300.5737,332.03125
avkv,60.716248,61.31134,514.27,509.50928
dboe,10.018921,2.241516,919.84863,982.0679
wmdo,98.16742,99.04022,214.66064,207.67819
qrrb,0.0,99.287415,1000.0,205.7007
msqi,42.181396,43.333435,662.54877,653.33246
lvsw,88.25073,88.87329,293.99414,289.01367
qsky,13.891602,15.614319,888.8672,875.08545
wwfk,72.42432,67.20581,420.60547,462.35352
szlh,0.0,0.0,1000.0,1000.0
dfay,100.0,83.09479,199.99998,335.24167
nmjg,100.0,100.0,199.99998,199.99998
wbst,100.0,100.0,199.99998,199.99998
gipz,92.39807,87.82654,260.81543,297.38766
jbhn,74.16687,75.12665,406.66504,398.98682
biji,100.0,100.0,199.99998,199.99998
zdes,17.401123,19.741821,860.791,842.0654
qsgu,99.89624,100.0,200.83005,199.99998
aezd,100.0,100.0,199.99998,199.99998
tgub,50.561523,48.971558,595.5078,608.2275
vbnp,52.722168,49.049377,578.22266,607.605
yspe,0.0,0.0,1000.0,1000.0
yifm,0.0,35.92987,1000.0,712.56104
gsga,39.78119,33.407593,681.7505,732.7392
nccb,89.69574,88.04016,282.43405,295.67868
qqjv,34.6817,38.323975,722.5463,693.4082
caol,33.694458,30.999756,730.44434,752.00195
yewj,100.0,100.0,199.99998,199.99998
memk,80.15137,81.94122,358.78903,344.4702
xebv,53.466797,49.127197,572.2656,606.9824
lvvu,100.0,100.0,199.99998,199.99998
dkdp,100.0,100.0,199.99998,199.99998
lopm,27.742004,29.09851,778.06396,767.2119
swlt,84.79004,97.143555,321.67966,222.85158
ltqj,100.0,100.0,199.99998,199.99998
ygbj,59.765625,56.237793,521.875,550.09766
pftz,76.62811,77.882385,386.9751,376.94092
mcky,99.21875,100.0,206.25002,199.99998
pcwc,89.68811,94.140625,282.4951,246.87498
yxuw,0.0,0.0,1000.0,1000.0
lcug,91.926575,99.25842,264.5874,205.93262
vpvx,83.96912,76.71661,328.24707,386.26706
dluh,99.80621,99.90845,201.55031,200.7324
gjjy,99.3927,100.0,204.85837,199.99998
qiff,100.0,100.0,199.99998,199.99998
yfiq,100.0,100.0,199.99998,199.99998
njmh,100.0,100.0,199.99998,199.99998
ylhz,21.212769,23.41156,830.29785,812.7075
ezwo,30.056763,25.065613,759.5459,799.4751
xato,33.277893,30.488586,733.7768,756.0913
vygv,68.46771,67.959595,452.2583,456.3232
loxg,100.0,100.0,199.99998,199.99998
peqm,96.19446,97.06421,230.4443,223.4863
vgsn,100.0,100.0,199.99998,199.99998
aejp,14.152527,14.96582,886.7798,880.27344
lqpg,50.16632,51.46942,598.66943,588.2446
kynj,0.0,0.0,1000.0,1000.0
hrqc,100.0,100.0,199.99998,199.99998
qpri,99.20502,99.55139,206.35986,203.58884
wdvw,23.976135,29.18396,808.1909,766.5283
wwmi,0.0,0.0,1000.0,1000.0
yajs,100.0,100.0,199.99998,199.99998
mabp,100.0,100.0,199.99998,199.99998
rxmr,27.360535,27.633667,781.1157,778.93066
qzpj,23.225403,79.685974,814.1968,362.51218
qzte,54.815674,53.356934,561.47455,573.14453
ykqa,56.245422,55.715942,550.0366,554.2724
hswh,100.0,100.0,199.99998,199.99998
szhf,73.716736,69.05823,410.2661,447.53415
sbic,24.949646,20.022583,800.40283,839.81934
exvn,2.0385742,5.5023193,983.6914,955.98145
yclv,100.0,100.0,199.99998,199.99998
clwa,0.9414673,11.11908,992.46826,911.04736
kwya,0.869751,0.65460205,993.042,994.7632
tbiy,0.0,0.0,1000.0,1000.0
yeqo,100.0,100.0,199.99998,199.99998
xlqo,100.0,100.0,199.99998,199.99998
xcfp,77.96478,76.81732,376.28174,385.4614
mgnu,99.38507,98.46802,204.9194,212.25583
cqbi,100.0,100.0,199.99998,199.99998
ihwg,0.0,0.0,1000.0,1000.0
yjco,85.035706,88.79852,319.71436,289.61182
luek,98.92578,99.572754,208.59372,203.41795
hxyc,0.0,100.0,1000.0,199.99998
gszv,44.32068,37.27417,645.4346,701.80664
dyum,1.864624,1.0238647,985.083,991.8091
apky,97.85004,97.34039,217.19968,221.27682
bjed,100.0,100.0,199.99998,199.99998
iwmq,26.353455,28.96576,789.17236,768.2739
shbi,100.0,100.0,199.99998,199.99998
wytq,73.31085,61.653137,413.51318,506.7749
cbyx,44.766235,39.790344,641.8701,681.67725
rtji,100.0,100.0,199.99998,199.99998
pins,7.9956055,6.880188,936.03516,944.9585
xjrz,100.0,100.0,199.99998,199.99998
